fecha_inicio,categoria_delito,nombre_sec
2025-03-30,Robo a negocio con violencia,LA RAZA
2025-02-12,Robo a negocio con violencia,CLAVERIA
2025-01-26,Homicidio doloso,CLAVERIA
2025-01-30,Robo a negocio con violencia,CLAVERIA
2025-01-14,Robo a repartidor con y sin violencia,LA RAZA
2024-02-21,Robo a negocio con violencia,HORMIGA
2025-04-10,Robo a negocio con violencia,CLAVERIA
2024-04-09,Robo a negocio con violencia,CLAVERIA
2024-07-30,Robo a negocio con violencia,CLAVERIA
2024-03-29,Homicidio doloso,HORMIGA
2024-05-16,Robo a repartidor con y sin violencia,CLAVERIA
2024-05-06,Robo a negocio con violencia,CLAVERIA
2024-04-26,Homicidio doloso,HORMIGA
2024-05-05,Robo a negocio con violencia,HORMIGA
2025-03-15,Robo a repartidor con y sin violencia,HORMIGA
2024-09-10,Robo a repartidor con y sin violencia,HORMIGA
2025-05-10,Lesiones dolosas por disparo de arma de fuego,HORMIGA
2024-01-26,Robo a negocio con violencia,HORMIGA
2024-01-10,Robo a negocio con violencia,CLAVERIA
2025-05-11,Robo a repartidor con y sin violencia,CLAVERIA
2025-01-22,Robo a negocio con violencia,CLAVERIA
2024-02-13,Lesiones dolosas por disparo de arma de fuego,CLAVERIA
2025-07-21,Robo a negocio con violencia,CLAVERIA
2025-07-01,Homicidio doloso,LA RAZA
2025-01-01,Lesiones dolosas por disparo de arma de fuego,CLAVERIA
2025-01-28,Robo a negocio con violencia,CLAVERIA
2024-03-30,Robo a repartidor con y sin violencia,CUITLAHUAC
2024-10-31,Robo a negocio con violencia,HORMIGA
2024-11-29,Lesiones dolosas por disparo de arma de fuego,CLAVERIA
2024-01-12,Robo a negocio con violencia,CLAVERIA
2024-05-30,Lesiones dolosas por disparo de arma de fuego,HORMIGA
2024-02-08,Robo a negocio con violencia,CLAVERIA
2024-03-12,Robo a cuentahabiente saliendo del cajero con violencia,CLAVERIA
2025-01-09,Robo a pasajero a bordo de microbús con y sin violencia,HORMIGA
2024-06-05,Homicidio doloso,CUITLAHUAC
2025-05-30,Homicidio doloso,CLAVERIA
2024-10-17,Homicidio doloso,CLAVERIA
2024-12-29,Homicidio doloso,CLAVERIA
2025-03-21,Robo a cuentahabiente saliendo del cajero con violencia,CLAVERIA
2024-03-05,Robo a negocio con violencia,HORMIGA
2025-06-23,Robo a negocio con violencia,HORMIGA
2025-02-04,Robo a negocio con violencia,CLAVERIA
2024-02-09,Robo a negocio con violencia,CLAVERIA
2024-04-27,Robo a negocio con violencia,CLAVERIA
2024-01-25,Robo a negocio con violencia,CLAVERIA
2024-08-20,Robo a pasajero a bordo de taxi con violencia,HORMIGA
2024-07-16,Robo a pasajero a bordo de microbús con y sin violencia,LA RAZA
2025-04-30,Homicidio doloso,LA RAZA
2025-04-04,Robo a repartidor con y sin violencia,HORMIGA
2024-05-07,Robo a cuentahabiente saliendo del cajero con violencia,CLAVERIA
2025-01-31,Robo a negocio con violencia,CUITLAHUAC
2024-11-13,Homicidio doloso,HORMIGA
2025-05-01,Robo a negocio con violencia,HORMIGA
