fecha_inicio,categoria_delito,nombre_sec
2025-03-30,Robo a negocio con violencia,LA RAZA
2025-02-12,Robo a negocio con violencia,CLAVERIA
2025-01-26,Homicidio doloso,CLAVERIA
2025-01-30,Robo a negocio con violencia,CLAVERIA
2025-01-14,Robo a repartidor con y sin violencia,LA RAZA
2025-04-10,Robo a negocio con violencia,CLAVERIA
2025-03-15,Robo a repartidor con y sin violencia,HORMIGA
2025-01-22,Robo a negocio con violencia,CLAVERIA
2025-01-01,Lesiones dolosas por disparo de arma de fuego,CLAVERIA
2025-01-28,Robo a negocio con violencia,CLAVERIA
2025-01-09,Robo a pasajero a bordo de microbús con y sin violencia,HORMIGA
2024-12-29,Homicidio doloso,CLAVERIA
2025-03-21,Robo a cuentahabiente saliendo del cajero con violencia,CLAVERIA
2025-02-04,Robo a negocio con violencia,CLAVERIA
2025-04-04,Robo a repartidor con y sin violencia,HORMIGA
2025-01-31,Robo a negocio con violencia,CUITLAHUAC
2025-03-19,Robo a pasajero a bordo de taxi con violencia,HORMIGA
2025-02-25,Robo a repartidor con y sin violencia,CLAVERIA
2025-03-24,Robo a negocio con violencia,HORMIGA
2025-04-08,Robo a negocio con violencia,CUITLAHUAC
2025-03-11,Robo a negocio con violencia,CUITLAHUAC
2025-03-01,Robo a negocio con violencia,CLAVERIA
2025-03-04,Robo a negocio con violencia,CUITLAHUAC
2024-12-26,Homicidio doloso,CLAVERIA
2024-12-27,Robo a repartidor con y sin violencia,CLAVERIA
2025-02-05,Robo a negocio con violencia,CUITLAHUAC
2025-03-06,Robo a repartidor con y sin violencia,CLAVERIA
2025-01-16,Robo a repartidor con y sin violencia,HORMIGA
2025-02-24,Robo a negocio con violencia,CUITLAHUAC
2025-02-08,Robo a negocio con violencia,CLAVERIA
2024-12-19,Robo a cuentahabiente saliendo del cajero con violencia,UNIVERSIDAD
2025-01-19,Robo a pasajero a bordo de microbús con y sin violencia,TAXQUEÑA
2024-12-23,Robo a negocio con violencia,COYOACAN
2025-01-05,Robo a pasajero a bordo de microbús con y sin violencia,COYOACAN
2025-03-21,Robo a negocio con violencia,CULHUACAN
2025-02-25,Robo a pasajero a bordo de microbús con y sin violencia,CULHUACAN
2025-02-27,Robo a negocio con violencia,TAXQUEÑA
2025-01-19,Robo a pasajero a bordo de microbús con y sin violencia,COYOACAN
2025-02-01,Robo a negocio con violencia,TAXQUEÑA
2025-02-04,Robo a casa habitación con violencia,UNIVERSIDAD
2025-01-16,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2025-03-12,Robo a negocio con violencia,XOTEPINGO
2025-02-20,Robo a negocio con violencia,TAXQUEÑA
2025-03-15,Lesiones dolosas por disparo de arma de fuego,CULHUACAN
2025-03-11,Robo a negocio con violencia,XOTEPINGO
2025-02-27,Robo a casa habitación con violencia,XOTEPINGO
2025-01-07,Robo a negocio con violencia,XOTEPINGO
2025-02-12,Robo a pasajero a bordo de microbús con y sin violencia,COYOACAN
2024-12-18,Robo a negocio con violencia,XOTEPINGO
2025-01-22,Robo a negocio con violencia,CULHUACAN
