fecha_inicio,categoria_delito,nombre_sec
2025-05-10,Lesiones dolosas por disparo de arma de fuego,HORMIGA
2025-05-11,Robo a repartidor con y sin violencia,CLAVERIA
2025-07-21,Robo a negocio con violencia,CLAVERIA
2025-07-01,Homicidio doloso,LA RAZA
2025-05-30,Homicidio doloso,CLAVERIA
2025-06-23,Robo a negocio con violencia,HORMIGA
2025-04-30,Homicidio doloso,LA RAZA
2025-05-01,Robo a negocio con violencia,HORMIGA
2025-05-07,Robo a repartidor con y sin violencia,HORMIGA
2025-06-17,Robo a negocio con violencia,HORMIGA
2025-04-21,Robo a negocio con violencia,CLAVERIA
2025-05-01,Robo a negocio con violencia,CLAVERIA
2025-04-23,Robo a repartidor con y sin violencia,CLAVERIA
2025-07-14,Robo a negocio con violencia,CLAVERIA
2025-04-20,Robo a negocio con violencia,CLAVERIA
2025-04-24,Homicidio doloso,LA RAZA
2025-04-27,Homicidio doloso,LA RAZA
2025-04-21,Robo a negocio con violencia,TAXQUEÑA
2025-07-07,Robo a negocio con violencia,TAXQUEÑA
2025-06-16,Robo a negocio con violencia,TAXQUEÑA
2025-08-02,Robo a negocio con violencia,TAXQUEÑA
2025-08-08,Robo a negocio con violencia,UNIVERSIDAD
2025-06-12,Robo a casa habitación con violencia,TAXQUEÑA
2025-06-02,Robo a negocio con violencia,UNIVERSIDAD
2025-05-27,Lesiones dolosas por disparo de arma de fuego,COYOACAN
2025-07-05,Robo a pasajero a bordo de microbús con y sin violencia,CULHUACAN
2025-06-11,Robo a negocio con violencia,TAXQUEÑA
2025-04-28,Robo a negocio con violencia,TAXQUEÑA
2025-07-09,Robo a negocio con violencia,COYOACAN
2025-08-14,Robo a negocio con violencia,XOTEPINGO
2025-06-20,Robo a pasajero a bordo de microbús con y sin violencia,XOTEPINGO
2025-06-23,Robo a negocio con violencia,XOTEPINGO
2025-07-14,Robo a negocio con violencia,XOTEPINGO
2025-04-21,Robo a negocio con violencia,XOTEPINGO
2025-04-21,Robo a repartidor con y sin violencia,UNIVERSIDAD
2025-08-14,Robo a negocio con violencia,XOTEPINGO
