nombre_sec,evaluacion,categoria_delito,total,total_delitos
ABASTO-REFORMA,primera,Homicidio doloso,3,112
ABASTO-REFORMA,primera,Lesiones dolosas por disparo de arma de fuego,2,112
ABASTO-REFORMA,primera,Robo a casa habitación con violencia,2,112
ABASTO-REFORMA,primera,Robo a negocio con violencia,17,112
ABASTO-REFORMA,primera,Robo a pasajero a bordo de microbús con y sin violencia,5,112
ABASTO-REFORMA,primera,Robo a pasajero a bordo de taxi con violencia,2,112
ABASTO-REFORMA,primera,Robo a repartidor con y sin violencia,3,112
ABASTO-REFORMA,primera,Robo a transeúnte en vía pública con violencia,24,112
ABASTO-REFORMA,primera,Robo a transportista con y sin violencia,1,112
ABASTO-REFORMA,primera,Robo de vehículo con violencia,4,112
ABASTO-REFORMA,primera,Robo de vehículo sin violencia,49,112
ABASTO-REFORMA,segunda,Homicidio doloso,9,125
ABASTO-REFORMA,segunda,Lesiones dolosas por disparo de arma de fuego,2,125
ABASTO-REFORMA,segunda,Robo a casa habitación con violencia,1,125
ABASTO-REFORMA,segunda,Robo a cuentahabiente saliendo del cajero con violencia,1,125
ABASTO-REFORMA,segunda,Robo a negocio con violencia,14,125
ABASTO-REFORMA,segunda,Robo a pasajero a bordo de microbús con y sin violencia,2,125
ABASTO-REFORMA,segunda,Robo a repartidor con y sin violencia,3,125
ABASTO-REFORMA,segunda,Robo a transeúnte en vía pública con violencia,28,125
ABASTO-REFORMA,segunda,Robo de vehículo con violencia,8,125
ABASTO-REFORMA,segunda,Robo de vehículo sin violencia,57,125
ALAMEDA,primera,Homicidio doloso,1,26
ALAMEDA,primera,Lesiones dolosas por disparo de arma de fuego,1,26
ALAMEDA,primera,Robo a negocio con violencia,2,26
ALAMEDA,primera,Robo a transeúnte en vía pública con violencia,20,26
ALAMEDA,primera,Robo de vehículo sin violencia,2,26
ALAMEDA,segunda,Homicidio doloso,2,39
ALAMEDA,segunda,Lesiones dolosas por disparo de arma de fuego,1,39
ALAMEDA,segunda,Robo a cuentahabiente saliendo del cajero con violencia,1,39
ALAMEDA,segunda,Robo a negocio con violencia,3,39
ALAMEDA,segunda,Robo a pasajero a bordo de taxi con violencia,2,39
ALAMEDA,segunda,Robo a pasajero a bordo del metro con violencia,1,39
ALAMEDA,segunda,Robo a repartidor con y sin violencia,1,39
ALAMEDA,segunda,Robo a transeúnte en vía pública con violencia,23,39
ALAMEDA,segunda,Robo de vehículo con violencia,3,39
ALAMEDA,segunda,Robo de vehículo sin violencia,2,39
ALPES,primera,Homicidio doloso,2,45
ALPES,primera,Lesiones dolosas por disparo de arma de fuego,1,45
ALPES,primera,Robo a negocio con violencia,4,45
ALPES,primera,Robo a repartidor con y sin violencia,2,45
ALPES,primera,Robo a transeúnte en vía pública con violencia,26,45
ALPES,primera,Robo de vehículo con violencia,4,45
